ラインコード,商品コード,区分,年月,実績,計画直近6ヵ月,6ヵ月異常値除去,AIハイブリッド
324A,WA-AB08Z-MHFW,H,202503,5,1.7,1.5,2.8
324A,WA-AA00HR-MHFV,F,202503,3,14.8,15,13.7
324A,LL-AA09HL-MWH4,G,202503,19,4.8,5.5,5.1
324A,DD-AC09HR-MWH4,G,202503,15,4,4,6
324A,LL-BB065HR-MWH4,G,202503,15,3.8,3,2.6
324A,PP-BA08HR-MWH4,H,202503,12,2.7,2.8,2.6
324A,DK-AC055HL-MTW8,G,202503,10,3.7,3.8,2.6
324A,MM-AC07HR-MWH5,G,202503,10,5.1,4.8,4.3
324A,YY-AB12HL-MWH6,G,202503,10,4.6,4,6
324A,YY-AC07HR-MWH5,G,202503,10,5.6,5.8,3.4
324A,PP-BB06HR-MWH4,G,202503,9,5.9,6.5,4.3
324A,WA-AE055HR-MWH4,G,202503,9,6.2,6.3,6.9
324A,DG-AB06HL-MTW8,G,202503,8,5,5.3,4.3
324A,DK-AC06HR-MTW8,G,202503,8,7.2,7.8,3.4
324A,MM-AC07HL-MWH5,G,202503,8,3.7,4.3,5.1
324A,MM-AC12HR-MWH6,G,202503,8,4.8,4.8,4.3
324A,PP-AC12HR-MWH6,H,202503,8,3.7,4,2.6
324A,DB-AC07HL-MTW8,H,202503,7,4.5,4,4.3
324A,DG-AA08HR-MTW8,H,202503,7,3.5,4,6
324A,DK-AC055HR-MTW8,G,202503,7,4.3,4.5,4.3
324A,LL-AC055HL-MWH5,H,202503,7,3.7,3.5,4.3
324A,WA-AC07HR-MWH5,G,202503,7,5.6,5.8,5.1
324A,DD-AB12HR-MWH6,H,202503,6,3.2,3,4.3
324A,DG-AA07HR-MTW8,H,202503,6,4,4.3,3.4
324A,DG-AA08HL-MTW8,H,202503,6,1.9,2,5.1
324A,DG-AB065HL-MTW8,G,202503,6,5.6,3.8,5.1
324A,MM-AD055HL-MWH4,G,202503,6,7.2,5.5,5.1
324A,MM-AH06HL-MWH4,H,202503,6,2.7,2.8,0.9
324A,WA-AB055HL-MWH5,G,202503,6,5.6,6.3,6
324A,WA-AB12HR-MWH6,H,202503,6,5.6,5.3,6.9
324A,WA-BB065HR-MWH4,H,202503,6,4.8,4.8,3.4
324A,YY-AC07HL-MWH5,G,202503,6,4.2,4.5,6
324A,YY-AE08HR-MWH4,G,202503,6,4.8,5.5,5.1
324A,YY-BB055HR-MWH4,H,202503,6,2.6,2.5,2.6
324A,DG-AB09HL-MTW8,G,202503,5,3.5,3.8,6
324A,DG-AB09HR-MTW8,G,202503,5,4.5,3.8,3.4
324A,DG-AD065HL-MTW8,H,202503,5,4.6,5,4.3
324A,EF-AC055HR-MTW8,G,202503,5,6.2,6.8,3.4
324A,LL-AC12HR-MWH6,H,202503,5,3.8,3.8,4.3
324A,MM-AE055HR-MWH4,H,202503,5,3.8,3.8,4.3
324A,MM-BB06HL-MWH4,G,202503,5,5.1,5,6.9
324A,YY-AC12HL-MWH6,H,202503,5,2.9,2.5,5.1
324A,YY-AE08HL-MWH4,H,202503,5,3.5,3.5,6.9
324A,DG-AB08HR-MTW8,G,202503,4,4.8,5.3,5.1
324A,EF-AC055HL-MTW8,G,202503,4,4,4.3,3.4
324A,LL-AC06HR-MWH5,H,202503,4,2.7,3.3,2.6
324A,LL-AD08HR-MWH4,H,202503,4,4.2,4.3,2.6
324A,LL-BB06HL-MWH4,H,202503,4,5.9,5.3,4.3
324A,MM-AC12HL-MWH6,H,202503,4,4.2,4,4.3
324A,MM-BB06HR-MWH4,G,202503,4,5.8,6.3,6
324A,MM-BB07HR-MWH4,H,202503,4,3.7,4,2.6
324A,PP-AC065HR-MWH5,H,202503,4,4,4.3,4.3
324A,PP-AD08HR-MWH4,H,202503,4,2.9,3,2.6
324A,PP-BB065HL-MWH4,H,202503,4,5.1,4,4.3
324A,PP-BB065HR-MWH4,H,202503,4,4.2,4.3,5.1
324A,PP-BB06HL-MWH4,H,202503,4,5.4,5,6
324A,YY-AC055HL-MWH5,H,202503,4,5,5,3.4
324A,YY-AD08HL-MWH4,G,202503,4,7,7.8,7.7
324A,YY-BB055HL-MWH4,H,202503,4,3.8,4.5,4.3
324A,DD-AA055HR-MWH5,G,202503,3,9.3,9,6
324A,DD-AD055HR-MWH4,H,202503,3,2.2,2,3.4
324A,DD-AE065HR-MWH4,G,202503,3,4.5,5,3.4
324A,DD-AE07HL-MWH4,H,202503,3,4.6,4.8,7.7
324A,DG-AD065HR-MTW8,H,202503,3,4.2,2.5,6
324A,DK-AC06HL-MTW8,G,202503,3,5.8,5.8,1.7
324A,ED-AC065HR-MTW8,H,202503,3,4.6,4.8,2.6
324A,LL-AD08HL-MWH4,H,202503,3,3,3.5,2.6
324A,LL-AE055HR-MWH4,G,202503,3,5.3,5.3,4.3
324A,LL-BB07HL-MWH4,G,202503,3,8,5.8,6.9
324A,MM-AE055HL-MWH4,H,202503,3,3,3,4.3
324A,MM-AH065HL-MWH4,H,202503,3,3.8,3.5,3.4
324A,MM-AH065HR-MWH4,H,202503,3,3.2,3.8,3.4
324A,MM-BB07HL-MWH4,H,202503,3,5.9,5.8,5.1
324A,PP-AB12HL-MWH6,H,202503,3,2.6,2.8,4.3
324A,PP-AC065HL-MWH5,H,202503,3,4.8,5.3,3.4
324A,PP-AD08HL-MWH4,H,202503,3,3.2,3.3,0.9
