シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
イモス,CCCCC000001,202406,865,762.324,854.9119809
イモス,CCCCC000002,202406,448,424.7641,577.2112129
イモス,CCCCC000003,202406,605,631.5175,620.3329096
イモス,CCCCC000004,202406,545,416.3608,612.8620731
イモス,CCCCC000005,202406,476,395.2732,420.6497071
イモス,CCCCC000006,202406,517,515.4566,586.5206268
イモス,CCCCC000007,202406,574,566.3522,544.2550049
イモス,CCCCC000008,202406,448,465.3537,563.0763303
イモス,CCCCC000009,202406,646,526.0796,512.6396662
イモス,CCCCC000010,202406,471,460.4386,536.4793296
イモス,CCCCC000011,202406,477,399.7127,496.8759218
イモス,CCCCC000012,202406,496,524.0184,621.1852979
イモス,CCCCC000013,202406,399,386.2357,420.8798632
イモス,CCCCC000014,202406,463,367.8435,450.1296077
イモス,CCCCC000015,202406,466,267.7964,362.272152
イモス,CCCCC000016,202406,244,250.9898,216.5829956
イモス,CCCCC000017,202406,433,385.6015,608.5346099
イモス,CCCCC000018,202406,461,295.0676,294.2105332
イモス,CCCCC000019,202406,407,389.4067,397.3345668
イモス,CCCCC000020,202406,265,236.2443,220.2890057
イモス,CCCCC000021,202406,341,382.9061,380.4050793
イモス,CCCCC000022,202406,276,229.4265,210.5354392
イモス,CCCCC000023,202406,275,226.2555,214.2604009
イモス,CCCCC000024,202406,316,298.8728,348.5072919
イモス,CCCCC000025,202406,366,358.9645,332.7587712
イモス,CCCCC000026,202406,430,334.8644,572.0988434
イモス,CCCCC000027,202406,487,359.4402,593.7042376
イモス,CCCCC000028,202406,346,354.8421,350.7080433
イモス,CCCCC000029,202406,205,106.3892,118.4281723
イモス,CCCCC000030,202406,303,248.2944,230.7401989
イモス,CCCCC000031,202406,301,195.3376,213.1129506
イモス,CCCCC000032,202406,286,254.1608,283.8430785
イモス,CCCCC000033,202406,311,237.0371,350.7921885
イモス,CCCCC000034,202406,263,212.1442,250.7166702
イモス,CCCCC000035,202406,244,236.8785,207.0547789
イモス,CCCCC000036,202406,262,280.7978,255.2435051
イモス,CCCCC000037,202406,291,206.4363,297.4381584
イモス,CCCCC000038,202406,220,195.8132,228.3365199
イモス,CCCCC000039,202406,199,42.3337,0
イモス,CCCCC000040,202406,220,274.9313,246.0821127
イモス,CCCCC000041,202406,332,257.3319,201.7346257
イモス,CCCCC000042,202406,203,173.6158,201.181819
イモス,CCCCC000043,202406,221,141.588,213.2888291
イモス,CCCCC000044,202406,206,192.9593,240.0654352
イモス,CCCCC000045,202406,177,244.0134,227.862216
イモス,CCCCC000046,202406,199,197.8744,223.9834431
イモス,CCCCC000047,202406,222,161.5657,177.7478867
イモス,CCCCC000048,202406,191,258.1247,191.194733
イモス,CCCCC000049,202406,249,214.2054,228.215418
イモス,CCCCC000050,202406,234,183.4461,175.5952306
イモス,CCCCC000051,202406,193,154.1137,198.6594027
イモス,CCCCC000052,202406,181,172.1888,164.8319503
イモス,CCCCC000053,202406,185,168.7006,192.5336823
イモス,CCCCC000054,202406,155,226.0969,229.5362494
イモス,CCCCC000055,202406,173,174.8842,164.8319503
イモス,CCCCC000056,202406,146,176.1526,122.2340332
イモス,CCCCC000057,202406,181,153.1624,147.6107017
イモス,CCCCC000058,202406,160,175.3599,204.5282995
イモス,CCCCC000059,202406,202,164.2612,193.6959
イモス,CCCCC000060,202406,129,174.5671,262.1443018
イモス,CCCCC000061,202406,121,168.0664,207.9215244
イモス,CCCCC000062,202406,199,176.7869,211.6008554
イモス,CCCCC000063,202406,193,37.7357,0
イモス,CCCCC000064,202406,182,180.9092,187.4195064
イモス,CCCCC000065,202406,166,185.5073,163.6018611
イモス,CCCCC000066,202406,202,208.8146,187.41158
イモス,CCCCC000067,202406,183,171.2375,155.5311153
イモス,CCCCC000068,202406,171,127.4768,176.6131413
イモス,CCCCC000069,202406,166,151.894,142.9978673
イモス,CCCCC000070,202406,191,170.4447,181.1306319
イモス,CCCCC000071,202406,123,117.3294,205.8523696
イモス,CCCCC000072,202406,154,139.844,147.918224
イモス,CCCCC000073,202406,168,188.3612,200.9836167
イモス,CCCCC000074,202406,167,187.5685,219.6087314
イモス,CCCCC000075,202406,197,175.2013,198.249526
イモス,CCCCC000076,202406,187,165.8467,145.8149021
イモス,CCCCC000077,202406,196,172.5059,182.0531988
イモス,CCCCC000078,202406,200,187.0928,172.8275299
イモス,CCCCC000079,202406,128,159.6631,162.9868165
イモス,CCCCC000080,202406,165,135.4045,170.3673516
イモス,CCCCC000081,202406,97,69.1292,85.22936097
イモス,CCCCC000082,202406,159,160.9315,132.5421093
イモス,CCCCC000083,202406,150,174.25,119.1507787
イモス,CCCCC000084,202406,169,122.8788,136.2323768
イモス,CCCCC000085,202406,165,111.6215,99.80982211
イモス,CCCCC000086,202406,166,164.8954,287.950785
イモス,CCCCC000087,202406,132,170.9204,150.6859247
イモス,CCCCC000088,202406,150,133.5018,151.7592044
イモス,CCCCC000089,202406,115,163.6269,146.9956571
イモス,CCCCC000090,202406,172,104.0109,212.7184188
イモス,CCCCC000091,202406,141,134.4531,129.9602356
イモス,CCCCC000092,202406,156,140.7953,136.4845202
イモス,CCCCC000093,202406,111,112.2557,112.010486
イモス,CCCCC000094,202406,132,127.4768,130.0823774
イモス,CCCCC000095,202406,108,105.4379,91.39775628
イモス,CCCCC000096,202406,131,135.563,129.0392788
イモス,CCCCC000097,202406,196,170.9204,164.8319503
イモス,CCCCC000098,202406,132,122.7202,109.8960527
イモス,CCCCC000099,202406,153,128.9038,0
イモス,CCCCC000100,202406,153,154.748,148.0747899
イモス,CCCCC000101,202406,131,128.7452,123.1940298
イモス,CCCCC000102,202406,155,126.8426,0
イモス,CCCCC000103,202406,115,87.8385,93.03005458
イモス,CCCCC000104,202406,126,106.0721,87.33633186
イモス,CCCCC000105,202406,123,141.7466,133.7721984
イモス,CCCCC000106,202406,148,150.6256,127.9910745
イモス,CCCCC000107,202406,134,127.4768,122.3938735
イモス,CCCCC000108,202406,139,139.2097,162.6126035
イモス,CCCCC000109,202406,149,104.6451,122.7540505
イモス,CCCCC000110,202406,105,124.4643,116.7235449
イモス,CCCCC000111,202406,129,92.9122,107.8049146
イモス,CCCCC000112,202406,135,151.4183,122.7013958
イモス,CCCCC000113,202406,160,146.6617,135.608769
イモス,CCCCC000114,202406,113,113.6827,145.1505234
イモス,CCCCC000115,202406,117,50.4199,88.83445775
イモス,CCCCC000116,202406,88,105.9136,78.78615708
イモス,CCCCC000117,202406,128,139.844,210.2709296
イモス,CCCCC000118,202406,113,75.947,123.931485
イモス,CCCCC000119,202406,106,95.6076,107.6328033
イモス,CCCCC000120,202406,101,109.7188,144.2279565
イモス,CCCCC000121,202406,171,97.8273,119.3186506
イモス,CCCCC000122,202406,99,115.2682,104.2500581
イモス,CCCCC000123,202406,127,103.5353,116.422711
イモス,CCCCC000124,202406,121,117.9636,170.764932
イモス,CCCCC000125,202406,112,102.5839,147.918224
イモス,CCCCC000126,202406,84,110.0359,115.0446114
イモス,CCCCC000127,202406,113,95.9247,120.9352192
イモス,CCCCC000128,202406,109,135.0874,126.3916634
イモス,CCCCC000129,202406,113,96.5589,152.1801621
イモス,CCCCC000130,202406,103,123.513,150.3174112
イモス,CCCCC000131,202406,99,84.5089,47.04437079
イモス,CCCCC000132,202406,120,115.9024,123.6427241
イモス,CCCCC000133,202406,111,77.5325,86.43049572
イモス,CCCCC000134,202406,111,124.3057,113.475727
イモス,CCCCC000135,202406,113,110.5116,138.7685885
イモス,CCCCC000136,202406,160,119.5491,128.5443194
イモス,CCCCC000137,202406,103,140.9538,136.5398991
イモス,CCCCC000138,202406,95,123.1959,137.6516495
イモス,CCCCC000139,202406,124,115.5853,124.0397647
イモス,CCCCC000140,202406,81,135.7216,105.7876696
イモス,CCCCC000141,202406,105,74.3615,140.8226895
イモス,CCCCC000142,202406,101,107.6576,93.42852834
イモス,CCCCC000143,202406,103,109.7188,107.7157683
イモス,CCCCC000144,202406,106,85.4602,77.70014262
イモス,CCCCC000145,202406,110,104.9622,102.5843526
イモス,CCCCC000146,202406,91,87.3628,73.08751292
イモス,CCCCC000147,202406,86,78.4839,69.15744936
イモス,CCCCC000148,202406,81,101.6326,75.03544005
イモス,CCCCC000149,202406,74,97.9859,122.3639878
イモス,CCCCC000150,202406,80,97.8273,96.44849584
イモス,CCCCC000151,202406,90,103.8524,103.1860204
イモス,CCCCC000152,202406,110,96.7175,131.8752188
イモス,CCCCC000153,202406,78,93.8635,78.57317793
イモス,CCCCC000154,202406,100,77.0569,82.06531917
イモス,CCCCC000155,202406,85,88.9484,81.49340825
イモス,CCCCC000156,202406,107,103.0596,124.5292256
イモス,CCCCC000157,202406,97,87.3628,83.4763721
イモス,CCCCC000158,202406,88,103.6938,114.0907715
イモス,CCCCC000159,202406,116,90.6925,86.10624268
イモス,CCCCC000160,202406,121,132.5505,187.204964
イモス,CCCCC000161,202406,101,68.495,64.67928391
イモス,CCCCC000162,202406,112,97.0346,84.23348603
イモス,CCCCC000163,202406,64,51.0541,67.65490496
イモス,CCCCC000164,202406,84,67.068,51.4818078
イモス,CCCCC000165,202406,119,83.7161,80.87836366
イモス,CCCCC000166,202406,96,92.5951,76.53609554
イモス,CCCCC000167,202406,56,59.2989,0
イモス,CCCCC000168,202406,109,73.5687,98.71219995
イモス,CCCCC000169,202406,104,73.2516,64.27215971
イモス,CCCCC000170,202406,55,64.8483,0
イモス,CCCCC000171,202406,100,76.8983,69.80756103
イモス,CCCCC000172,202406,67,57.5548,77.8031407
イモス,CCCCC000173,202406,91,65.7996,72.57526169
イモス,CCCCC000174,202406,95,123.6715,369.2618089
イモス,CCCCC000175,202406,109,128.7452,185.4489468
イモス,CCCCC000176,202406,74,72.1417,72.57526169
イモス,CCCCC000177,202406,59,72.6174,70.11508332
イモス,CCCCC000178,202406,91,81.972,85.18367579
イモス,CCCCC000179,202406,81,87.997,90.71907711
イモス,CCCCC000180,202406,97,85.1431,265.5625922
イモス,CCCCC000181,202406,93,86.5701,70.42260562
イモス,CCCCC000182,202406,88,48.6758,61.54353691
イモス,CCCCC000183,202406,95,74.9957,76.28210785
イモス,CCCCC000184,202406,87,79.1181,107.6275563
イモス,CCCCC000185,202406,94,75.7884,83.28087024
イモス,CCCCC000186,202406,81,85.3016,72.76978246
イモス,CCCCC000187,202406,76,62.7871,77.49561841
イモス,CCCCC000188,202406,74,49.4686,53.81640167
イモス,CCCCC000189,202406,79,77.5325,79.15520147
イモス,CCCCC000190,202406,80,84.826,83.95358661
イモス,CCCCC000191,202406,93,74.6786,82.41597513
イモス,CCCCC000192,202406,76,52.7982,56.74401964
イモス,CCCCC000193,202406,60,63.7384,56.59384306
イモス,CCCCC000194,202406,64,80.8621,68.57747185
イモス,CCCCC000195,202406,76,38.5284,101.744193
イモス,CCCCC000196,202406,76,69.6049,61.47772593
イモス,CCCCC000197,202406,91,63.4213,61.28064302
イモス,CCCCC000198,202406,59,84.826,68.88499414
イモス,CCCCC000199,202406,78,68.9707,71.9117169
イモス,CCCCC000200,202406,69,63.7384,70.13771146
イモス,CCCCC000201,202406,68,62.6285,84.30118571
イモス,CCCCC000202,202406,79,97.1931,86.10624268
イモス,CCCCC000203,202406,61,70.8733,68.52590935
イモス,CCCCC000204,202406,62,106.3892,83.34316965
イモス,CCCCC000205,202406,70,61.043,67.03986037
イモス,CCCCC000206,202406,74,85.4602,83.95358661
イモス,CCCCC000207,202406,90,64.3726,50.74117872
イモス,CCCCC000208,202406,68,72.1417,60.58189217
イモス,CCCCC000209,202406,48,75.4713,68.88499414
イモス,CCCCC000210,202406,74,78.1667,115.2193755
イモス,CCCCC000211,202406,64,74.6786,72.26773939
イモス,CCCCC000212,202406,77,88.1556,71.83683653
イモス,CCCCC000213,202406,56,50.8956,51.35622331
イモス,CCCCC000214,202406,65,63.4213,64.8872043
イモス,CCCCC000215,202406,77,82.4477,82.67487295
イモス,CCCCC000216,202406,78,93.0707,71.96021709
イモス,CCCCC000217,202406,54,30.2837,65.49220708
イモス,CCCCC000218,202406,72,85.4602,80.26331907
イモス,CCCCC000219,202406,64,81.3378,90.24524819
イモス,CCCCC000220,202406,66,107.4991,90.73271854
イモス,CCCCC000221,202406,69,64.8483,54.73896856
イモス,CCCCC000222,202406,51,77.5325,82.02000606
イモス,CCCCC000223,202406,67,73.093,64.27215971
イモス,CCCCC000224,202406,64,52.3226,42.72519158
イモス,CCCCC000225,202406,78,45.0291,69.19251644
イモス,CCCCC000226,202406,59,75.6299,66.23916096
イモス,CCCCC000227,202406,51,60.5673,62.73454824
イモス,CCCCC000228,202406,65,62.9456,58.4292361
イモス,CCCCC000229,202406,72,77.0569,62.73454824
イモス,CCCCC000230,202406,69,71.0318,61.62443315
イモス,CCCCC000231,202406,57,63.4213,52.89383479
イモス,CCCCC000232,202406,52,67.2266,60.27436987
イモス,CCCCC000233,202406,70,60.5673,67.34738267
イモス,CCCCC000234,202406,103,72.4588,68.26994955
イモス,CCCCC000235,202406,41,5.0737,0
イモス,CCCCC000236,202406,50,60.7259,63.05532887
イモス,CCCCC000237,202406,67,64.8483,61.50445906
イモス,CCCCC000238,202406,51,33.2962,41.51550986
イモス,CCCCC000239,202406,99,57.0792,73.49782857
イモス,CCCCC000240,202406,69,62.47,71.96021709
イモス,CCCCC000241,202406,60,69.1292,64.67928391
イモス,CCCCC000242,202406,68,53.4324,46.12834429
イモス,CCCCC000243,202406,69,72.6174,76.80882281
イモス,CCCCC000244,202406,54,57.5548,58.7367584
イモス,CCCCC000245,202406,54,51.8469,50.43365643
