シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
シャード,BBBBB000001,202406,47,16.9864,12.4140625
シャード,BBBBB000002,202406,13,10.4664,11.82291667
シャード,BBBBB000003,202406,17,17.5011,10.04947917
シャード,BBBBB000004,202406,20,11.839,15.36979167
シャード,BBBBB000005,202406,10,18.7022,23.0546875
シャード,BBBBB000006,202406,18,16.4717,17.734375
シャード,BBBBB000007,202406,17,9.78,21.87239583
シャード,BBBBB000008,202406,27,16.3001,15.36979167
シャード,BBBBB000009,202406,19,19.3885,25.41927083
シャード,BBBBB000010,202406,15,19.3885,34.28645833
シャード,BBBBB000011,202406,16,14.9274,10.04947917
シャード,BBBBB000012,202406,8,11.839,10.640625
シャード,BBBBB000013,202406,15,9.78,18.91666667
シャード,BBBBB000014,202406,14,8.0642,15.36979167
シャード,BBBBB000015,202406,9,10.2948,10.640625
シャード,BBBBB000016,202406,12,14.5843,18.91666667
シャード,BBBBB000017,202406,19,14.0695,12.4140625
シャード,BBBBB000018,202406,4,7.3779,8.8671875
シャード,BBBBB000019,202406,22,13.3832,20.69010417
シャード,BBBBB000020,202406,15,9.6085,11.82291667
シャード,BBBBB000021,202406,9,16.3001,15.9609375
シャード,BBBBB000022,202406,12,4.9758,7.09375
シャード,BBBBB000023,202406,15,6.1769,10.640625
シャード,BBBBB000024,202406,7,5.6621,5.3203125
シャード,BBBBB000025,202406,14,6.8632,6.502604167
シャード,BBBBB000026,202406,7,15.6138,10.640625
シャード,BBBBB000027,202406,14,14.2411,13.59635417
シャード,BBBBB000028,202406,10,5.8337,5.3203125
シャード,BBBBB000029,202406,5,6.8632,4.729166667
シャード,BBBBB000030,202406,14,10.6379,4.138020833
シャード,BBBBB000031,202406,9,8.9221,6.502604167
シャード,BBBBB000032,202406,16,7.0348,14.1875
シャード,BBBBB000033,202406,9,13.5548,13.00520833
シャード,BBBBB000034,202406,9,9.0937,13.00520833
シャード,BBBBB000035,202406,6,8.0642,7.09375
シャード,BBBBB000036,202406,15,10.4664,14.1875
シャード,BBBBB000037,202406,8,4.2895,5.3203125
シャード,BBBBB000038,202406,4,6.1769,9.458333333
シャード,BBBBB000039,202406,3,6.8632,5.911458333
シャード,BBBBB000040,202406,11,6.1769,6.502604167
シャード,BBBBB000041,202406,12,6.0053,6.502604167
シャード,BBBBB000042,202406,9,3.4316,7.09375
シャード,BBBBB000043,202406,11,4.6327,13.59635417
シャード,BBBBB000044,202406,8,3.4316,7.684895833
シャード,BBBBB000045,202406,8,4.8042,5.911458333
シャード,BBBBB000046,202406,13,8.9221,4.138020833
シャード,BBBBB000047,202406,4,5.8337,5.911458333
シャード,BBBBB000048,202406,18,2.4021,2.364583333
シャード,BBBBB000049,202406,4,6.0053,5.3203125
シャード,BBBBB000050,202406,6,7.3779,6.502604167
シャード,BBBBB000051,202406,5,10.1232,5.911458333
シャード,BBBBB000052,202406,7,6.52,4.729166667
シャード,BBBBB000053,202406,5,6.1769,10.04947917
シャード,BBBBB000054,202406,2,5.319,2.364583333
シャード,BBBBB000055,202406,14,7.2063,2.955729167
シャード,BBBBB000056,202406,7,4.1179,5.3203125
シャード,BBBBB000057,202406,8,5.1474,4.138020833
シャード,BBBBB000058,202406,5,9.4369,5.911458333
シャード,BBBBB000059,202406,2,2.4021,2.364583333
シャード,BBBBB000060,202406,6,5.1474,4.138020833
シャード,BBBBB000061,202406,0,2.2305,2.955729167
シャード,BBBBB000062,202406,7,4.2895,7.684895833
シャード,BBBBB000063,202406,5,5.319,2.955729167
シャード,BBBBB000064,202406,5,4.6327,6.502604167
シャード,BBBBB000065,202406,6,9.0937,10.04947917
シャード,BBBBB000066,202406,8,3.7748,3.546875
シャード,BBBBB000067,202406,12,4.6327,3.546875
シャード,BBBBB000068,202406,1,0.5147,0
シャード,BBBBB000069,202406,6,4.6327,0
シャード,BBBBB000070,202406,7,5.319,7.09375
シャード,BBBBB000071,202406,5,5.6621,4.729166667
シャード,BBBBB000072,202406,10,5.6621,6.502604167
シャード,BBBBB000073,202406,18,0.6863,4.138020833
シャード,BBBBB000074,202406,7,4.4611,5.3203125
