品目,マッピング,年月,実績,森①,森②,計画
枠_新,ABAA9新,202510,796,349.15,346.49,265.59
枠_旧,ABAA9旧,202510,822,1268.85,1271.51,1352.41
枠_新,ACAA9新,202510,749,414.49,347.33,347.33
枠_旧,ACAA9旧,202510,1367,1701.51,1768.67,1768.67
枠_新,BAA7新,202510,931618,1136136.72,1000852.27,1000852.27
枠_旧,BAA7旧,202510,5165766,4961247.28,5096531.73,5096531.73
枠_新,BAA8新,202510,2775,2002.26,1931,1931
枠_旧,BAA8旧,202510,8989,9761.74,9833,9833
枠_新,BBA7新,202510,301516,449469.58,576576.56,576576.56
枠_旧,BBA7旧,202510,3211099,3063145.42,2936038.44,2936038.44
枠_新,BBA8新,202510,216,86.94,188.78,483.08
枠_旧,BBA8旧,202510,2727,2856.06,2754.22,2459.92
枠_新,BCA7新,202510,1354036,1621523.64,1532967.5,1532967.5
枠_旧,BCA7旧,202510,7985096,7717608.36,7806164.5,7806164.5
枠_新,BCA8新,202510,155,35.43,75.5,193.2
枠_旧,BCA8旧,202510,1022,1141.57,1101.5,983.8
枠_新,BDA7新,202510,1542049,1327793.83,1220170.73,935276.53
枠_旧,BDA7旧,202510,4155835,4370090.17,4477713.27,4762607.47
枠_新,BDA8新,202510,234,389.05,379.04,290.54
枠_旧,BDA8旧,202510,1536,1380.95,1390.96,1479.46
枠_新,BEA7新,202510,35436,17618.19,19555.52,19555.52
枠_旧,BEA7旧,202510,83700,101517.81,99580.48,99580.48
枠_新,BEA8新,202510,76,0,12.36,143.46
枠_旧,BEA8旧,202510,798,874,861.64,730.54
枠_新,BFA7新,202510,4548,0,272.14,3158.14
枠_旧,BFA7旧,202510,14692,19240,18967.86,16081.86
枠_新,CAA7新,202510,846268,977361.71,1048291.52,1048291.52
枠_旧,CAA7旧,202510,5540125,5409031.29,5338101.48,5338101.48
枠_新,CAA8新,202510,2919,109.07,150.96,1751.91
枠_旧,CAA8旧,202510,7754,10563.93,10522.04,8921.09
枠_新,CBA7新,202510,302892,497735,605413.31,605413.31
枠_旧,CBA7旧,202510,3385402,3190559,3082880.69,3082880.69
枠_新,CBA8新,202510,160,102.25,112.38,287.58
枠_旧,CBA8旧,202510,1592,1649.75,1639.62,1464.42
枠_新,CCA7新,202510,1263043,1456733.99,1517287.59,1517287.59
枠_旧,CCA7旧,202510,7980564,7786873.01,7726319.41,7726319.41
枠_新,CCA8新,202510,214,47.68,79.03,202.23
枠_旧,CCA8旧,202510,1018,1184.32,1152.97,1029.77
枠_新,CDA7新,202510,1494384,977372.44,855172.85,855172.85
枠_旧,CDA7旧,202510,3715493,4232504.56,4354704.15,4354704.15
枠_新,CDA8新,202510,250,22.78,27.57,319.92
枠_旧,CDA8旧,202510,1699,1926.22,1921.43,1629.08
枠_新,CEA7新,202510,33618,10580.17,13200.13,18982.33
枠_旧,CEA7旧,202510,82026,105063.83,102443.87,96661.67
枠_新,CEA8新,202510,95,0,0,171.7
枠_旧,CEA8旧,202510,951,1046,1046,874.3
枠_新,CFA7新,202510,5637,1867.98,2616.31,3762.36
枠_旧,CFA7旧,202510,17284,21053.02,20304.69,19158.64
本体_新,AAAA1新,202510,40599,46300.03,25748.79,9352.79
本体_旧,AAAA1旧,202510,41381,35679.97,56231.21,72627.21
本体_新,AAAA2新,202510,6923,6242.71,2919.75,1060.55
本体_旧,AAAA2旧,202510,2373,3053.29,6376.25,8235.45
本体_新,AABA1新,202510,667370,624420.7,460869.51,460869.51
本体_旧,AABA1旧,202510,3372290,3415239.3,3578790.49,3578790.49
本体_新,AABA2新,202510,54171,64913.17,63448.56,27410.01
本体_旧,AABA2旧,202510,186086,175343.83,176808.44,212846.99
本体_新,AACA1新,202510,21687,24350.85,19411.16,7050.76
本体_旧,AACA1旧,202510,40115,37451.15,42390.84,54751.24
本体_新,AACA2新,202510,2548,1803.87,1030.83,374.43
本体_旧,AACA2旧,202510,734,1478.13,2251.17,2907.57
本体_新,BAAA1新,202510,56594,26353.4,62653.5,111535.7
本体_旧,BAAA1旧,202510,921050,951290.6,914990.5,866108.3
本体_新,BAAA2新,202510,16689,11971.58,12670.99,12670.99
本体_旧,BAAA2旧,202510,94376,99093.42,98394.01,98394.01
