シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
本舗,AAAAA000001,202506,339,237.1978,227.7344075
本舗,AAAAA000002,202506,167,162.0396,187.0420525
本舗,AAAAA000003,202506,132,164.6091,157.0582121
本舗,AAAAA000004,202506,92,95.5536,91.73627386
本舗,AAAAA000005,202506,96,95.393,108.155996
本舗,AAAAA000006,202506,90,87.2027,101.7308874
本舗,AAAAA000007,202506,72,86.3997,89.95152145
本舗,AAAAA000008,202506,89,72.7492,82.81251181
本舗,AAAAA000009,202506,54,62.3106,57.46902759
本舗,AAAAA000010,202506,59,59.2593,59.61073049
本舗,AAAAA000011,202506,50,48.9813,56.39817615
本舗,AAAAA000012,202506,42,52.6749,65.3219382
本舗,AAAAA000013,202506,34,38.5426,44.26185976
本舗,AAAAA000014,202506,33,29.0676,32.12554338
本舗,AAAAA000015,202506,31,33.5642,33.91029579
本舗,AAAAA000016,202506,48,45.4482,28.55603856
本舗,AAAAA000017,202506,30,44.1634,50.33001796
本舗,AAAAA000018,202506,31,28.4252,27.48518711
本舗,AAAAA000019,202506,26,30.8341,29.62689
本舗,AAAAA000020,202506,31,27.301,33.19639482
本舗,AAAAA000021,202506,19,22.6438,21.06007844
本舗,AAAAA000022,202506,7,18.1472,17.8475241
本舗,AAAAA000023,202506,16,6.4238,10.35156398
本舗,AAAAA000024,202506,17,13.3293,11.7793659
本舗,AAAAA000025,202506,8,14.4535,19.27532603
本舗,AAAAA000026,202506,7,14.2929,15.34887072
本舗,AAAAA000027,202506,7,9.7963,10.70851446
本舗,AAAAA000028,202506,24,5.6208,5.711207711
本舗,AAAAA000029,202506,7,8.6721,8.209861085
本舗,AAAAA000030,202506,5,5.6208,7.139009639
本舗,AAAAA000031,202506,10,4.4966,3.926455301
本舗,AAAAA000032,202506,12,7.0661,9.994613495
本舗,AAAAA000033,202506,2,2.8907,3.56950482
本舗,AAAAA000034,202506,9,0.9636,4.640356265
本舗,AAAAA000035,202506,9,1.9271,4.997306747
本舗,AAAAA000036,202506,7,0.4818,2.855603856
本舗,AAAAA000037,202506,6,1.2848,5.711207711
本舗,AAAAA000038,202506,4,3.2119,4.640356265
本舗,AAAAA000039,202506,6,1.1242,3.212554338
本舗,AAAAA000040,202506,7,3.0513,3.212554338
本舗,AAAAA000041,202506,3,0.803,4.640356265
本舗,AAAAA000042,202506,3,0.9636,4.283405783
本舗,AAAAA000043,202506,5,4.4966,6.068158193
本舗,AAAAA000044,202506,2,1.9271,2.498653374
本舗,AAAAA000045,202506,4,2.8907,5.354257229
本舗,AAAAA000046,202506,5,0.4818,0.713900964
本舗,AAAAA000047,202506,0,1.1242,1.070851446
本舗,AAAAA000048,202506,2,2.0877,1.427801928
本舗,AAAAA000049,202506,0,1.2848,3.926455301
本舗,AAAAA000050,202506,6,1.7665,1.78475241
本舗,AAAAA000051,202506,1,2.5695,0.356950482
本舗,AAAAA000052,202506,4,1.9271,1.427801928
本舗,AAAAA000053,202506,3,1.4453,2.141702892
本舗,AAAAA000054,202506,1,0.803,0.356950482
本舗,AAAAA000055,202506,2,0.6424,2.141702892
本舗,AAAAA000056,202506,2,0.9636,2.498653374
本舗,AAAAA000057,202506,2,0.803,1.070851446
本舗,AAAAA000058,202506,2,1.9271,1.78475241
本舗,AAAAA000059,202506,1,1.2848,3.212554338
本舗,AAAAA000060,202506,1,3.2119,3.56950482
本舗,AAAAA000061,202506,2,0.1606,1.070851446
本舗,AAAAA000062,202506,2,0.1606,2.498653374
本舗,AAAAA000063,202506,2,0.9636,2.855603856
本舗,AAAAA000064,202506,1,0.803,1.427801928
本舗,AAAAA000065,202506,2,1.1242,0.356950482
本舗,AAAAA000066,202506,4,3.3725,1.427801928
本舗,AAAAA000067,202506,2,3.5331,3.56950482
本舗,AAAAA000068,202506,1,0,1.070851446
本舗,AAAAA000069,202506,3,0.1606,0.713900964
本舗,AAAAA000070,202506,3,1.1242,1.78475241
本舗,AAAAA000071,202506,3,2.8907,3.212554338
本舗,AAAAA000072,202506,3,0.4818,1.78475241
本舗,AAAAA000073,202506,0,0.6424,2.141702892
本舗,AAAAA000074,202506,1,0.6424,2.141702892
本舗,AAAAA000075,202506,4,1.7665,4.283405783
本舗,AAAAA000076,202506,1,0.4818,0.356950482
本舗,AAAAA000077,202506,2,0.3212,0.356950482
本舗,AAAAA000078,202506,4,1.1242,1.070851446
本舗,AAAAA000079,202506,0,0.3212,0.713900964
本舗,AAAAA000080,202506,0,1.4453,2.498653374
本舗,AAAAA000081,202506,0,0.4818,2.141702892
本舗,AAAAA000082,202506,1,2.2483,0.713900964
本舗,AAAAA000083,202506,2,0.3212,0.356950482
本舗,AAAAA000084,202506,2,0.3212,1.070851446
本舗,AAAAA000085,202506,3,0.803,2.141702892
本舗,AAAAA000086,202506,1,0.9636,1.427801928
本舗,AAAAA000087,202506,0,0.3212,0
本舗,AAAAA000088,202506,0,0,0.356950482
本舗,AAAAA000089,202506,3,0,0.713900964
本舗,AAAAA000090,202506,0,0.3212,0.713900964
本舗,AAAAA000091,202506,0,1.2848,1.427801928
本舗,AAAAA000092,202506,0,1.9271,0.356950482
本舗,AAAAA000093,202506,2,0.3212,0.356950482
本舗,AAAAA000094,202506,2,0.6424,0.713900964
本舗,AAAAA000095,202506,0,0.1606,1.070851446
本舗,AAAAA000096,202506,0,0.1606,0.713900964
本舗,AAAAA000097,202506,1,0.3212,0
本舗,AAAAA000098,202506,1,0.4818,2.141702892
本舗,AAAAA000099,202506,0,0.803,1.427801928
本舗,AAAAA000100,202506,1,0.6424,1.070851446
本舗,AAAAA000101,202506,0,1.1242,0.713900964
本舗,AAAAA000102,202506,1,1.9271,1.070851446
本舗,AAAAA000103,202506,0,0,0
本舗,AAAAA000104,202506,0,0,0
本舗,AAAAA000105,202506,2,0,0
本舗,AAAAA000106,202506,0,0.4818,1.427801928
本舗,AAAAA000107,202506,2,0.1606,1.070851446
本舗,AAAAA000108,202506,0,0.3212,0.356950482
本舗,AAAAA000109,202506,0,0.6424,0.356950482
本舗,AAAAA000110,202506,1,0.6424,0.356950482
本舗,AAAAA000111,202506,1,0.4818,0
本舗,AAAAA000112,202506,1,0.6424,0
本舗,AAAAA000113,202506,0,0.803,0.713900964
本舗,AAAAA000114,202506,0,0.803,0.713900964
本舗,AAAAA000115,202506,0,0.803,0.713900964
本舗,AAAAA000116,202506,0,0.3212,0
本舗,AAAAA000117,202506,2,0.6424,1.070851446
本舗,AAAAA000118,202506,0,0.6424,1.070851446
本舗,AAAAA000119,202506,0,0.6424,0
本舗,AAAAA000120,202506,2,0.803,0.713900964
本舗,AAAAA000121,202506,0,0.803,1.78475241
本舗,AAAAA000122,202506,0,0.3212,1.070851446
本舗,AAAAA000123,202506,0,0,0
本舗,AAAAA000124,202506,0,0.1606,1.070851446
本舗,AAAAA000125,202506,0,0,0
本舗,AAAAA000126,202506,0,0,0.713900964
本舗,AAAAA000127,202506,1,0,0
本舗,AAAAA000128,202506,2,0.1606,2.855603856
本舗,AAAAA000129,202506,1,0.3212,0.713900964
本舗,AAAAA000130,202506,0,0.1606,0.713900964
本舗,AAAAA000131,202506,0,0.1606,0.356950482
本舗,AAAAA000132,202506,0,0.1606,0.356950482
本舗,AAAAA000133,202506,0,0.6424,3.212554338
本舗,AAAAA000134,202506,2,0.1606,0
本舗,AAAAA000135,202506,0,0.9636,1.070851446
本舗,AAAAA000136,202506,0,0.4818,1.070851446
本舗,AAAAA000137,202506,0,0.6424,0.356950482
本舗,AAAAA000138,202506,0,0.6424,0.356950482
本舗,AAAAA000139,202506,0,0.9636,0.356950482
本舗,AAAAA000140,202506,0,0.6424,1.070851446
本舗,AAAAA000141,202506,1,0,0.356950482
本舗,AAAAA000142,202506,1,0.1606,0.356950482
本舗,AAAAA000143,202506,0,0,0
本舗,AAAAA000144,202506,1,0.4818,0
本舗,AAAAA000145,202506,0,0,0.356950482
本舗,AAAAA000146,202506,0,0.3212,0.356950482
本舗,AAAAA000147,202506,0,0.6424,0.356950482
本舗,AAAAA000148,202506,0,0.4818,0
本舗,AAAAA000149,202506,0,0.1606,0.713900964
本舗,AAAAA000150,202506,0,0,0
本舗,AAAAA000151,202506,1,0,0
本舗,AAAAA000152,202506,0,0.803,0.356950482
本舗,AAAAA000153,202506,1,0.3212,0.713900964
本舗,AAAAA000154,202506,0,0.3212,0
本舗,AAAAA000155,202506,0,0.803,0.713900964
本舗,AAAAA000156,202506,0,0,0
本舗,AAAAA000157,202506,0,0,0.356950482
本舗,AAAAA000158,202506,1,0.4818,0
本舗,AAAAA000159,202506,0,0,0
本舗,AAAAA000160,202506,0,0.1606,1.427801928
本舗,AAAAA000161,202506,1,0.3212,0.713900964
本舗,AAAAA000162,202506,0,0,0
本舗,AAAAA000163,202506,0,0,0
本舗,AAAAA000164,202506,1,0,0
本舗,AAAAA000165,202506,1,0.3212,0.713900964
本舗,AAAAA000166,202506,0,0.3212,0.713900964
本舗,AAAAA000167,202506,0,0,0.356950482
本舗,AAAAA000168,202506,0,0.803,0.356950482
本舗,AAAAA000169,202506,0,0.9636,1.427801928
本舗,AAAAA000170,202506,0,0,0.713900964
本舗,AAAAA000171,202506,0,0.1606,0.356950482
本舗,AAAAA000172,202506,0,0.6424,0.713900964
本舗,AAAAA000173,202506,0,0,0.356950482
本舗,AAAAA000174,202506,1,0,0
本舗,AAAAA000175,202506,0,0.1606,0
本舗,AAAAA000176,202506,0,0.3212,0.356950482
本舗,AAAAA000177,202506,0,0,0
本舗,AAAAA000178,202506,0,1.1242,0.356950482
本舗,AAAAA000179,202506,0,0.803,0
本舗,AAAAA000180,202506,0,0,0
本舗,AAAAA000181,202506,0,0,0
本舗,AAAAA000182,202506,0,0.1606,0.713900964
本舗,AAAAA000183,202506,0,0.6424,0
本舗,AAAAA000184,202506,0,0,0
本舗,AAAAA000185,202506,0,0,1.070851446
本舗,AAAAA000186,202506,0,0,0
本舗,AAAAA000187,202506,0,0,0.356950482
本舗,AAAAA000188,202506,0,0,0.713900964
本舗,AAAAA000189,202506,0,0,0.356950482
本舗,AAAAA000190,202506,0,0,0
本舗,AAAAA000191,202506,0,0.1606,0.356950482
本舗,AAAAA000192,202506,0,0,0
本舗,AAAAA000193,202506,0,0,0
本舗,AAAAA000194,202506,0,0.1606,0
本舗,AAAAA000195,202506,0,0.6424,0.356950482
本舗,AAAAA000196,202506,0,0,0.356950482
本舗,AAAAA000197,202506,0,0.1606,0.356950482
本舗,AAAAA000198,202506,0,0.1606,0
本舗,AAAAA000199,202506,0,0,0
本舗,AAAAA000200,202507,537,304.1883,262.5283784
本舗,AAAAA000201,202507,271,201.1042,215.6189189
本舗,AAAAA000202,202507,187,186.2746,181.0540541
